"","movietitle","moviedate","moviereviewer","movierate","moviereviewtitle","moviereview"
"417","the dark knight","2021-09-04","jaydogva",0.9," overrated","Not that great Didnt remain consistent with Batman Begins and was extremely predictable The plot and action labors along and never reaches a satisfying conclusion The best thing about this film is the score"
"418","the dark knight","2009-01-12","airfoyle",1," oh come on people this is not one of the 250 great movies of all time","I will say up front that I have never seen a movie based on a comic book that I really liked except the animated ones or the quasianimated like Sin City You would think the graphic novel and film would have a lot in common but in the end theyre trading in different kinds of imagesThis is basically just another Batman movie Same silly premise that a superrich hero battles  over the shrinking remnants of Gotham city  villains with seemingly unlimited resources in personnel and explosivesI will agree that Heath Ledgers performance is amazing Can this be the same guy who played the gay cowboy in that other movie It is a real pity that he died I cant help but thinking that if he were still alive and we were wondering what he would do next with his great talent this movie would not have an average rating of 90 as of this writingThere are a lot of other fine actors Morgan Freeman and Michael Caine for crying out loud who are basically wasted pretending to take their characters seriouslyI did like the heist sequence at the beginning including the Jokers first few lines and the bit with the bus Really very droll gets your hopes up But from then on its just a lot of people being blown up while the survivors emote angst  dark brooding comicbook angst"
"419","the dark knight","2008-07-21","krzysiektom",0.7," good but overrated","I wanted to love this film I hoped it would live up to the hype I feel it does not It is a solid film ambitious and serious Maybe too serious Most of it are chaotic chases and fights or serious somber talk about politics and commitment Almost entire film is in the urban dark surroundings literally dark which is a lot to take in a very long movie And too much Republican agenda for my liking characters say it has to be worse before it gets better u should endure a period of unpopularity u stand for more important things than the public image there are guys who do not follow logic they just want to see the world burn vigilantism is a price of freedom etc One might think this Batman is ehm George W Joker is Bin Laden and Gotham is America Too much in a film about a guy in a plastic suit with two protruding ears who can fly chasing a megalomaniac made up like a clown A maniac that defies realism too being able to be in many places at will move around secretly tons of explosives etc For a movie that takes itself that serious the transition of Dent into TwoFace is simplistic and shallow Of course he fails to shoot the little blond boy because Batman intervenes at the last moment It was a scene like from Peter Pan movie And Batman has to beat Joker up to get the whereabouts of kidnapped Dent and his girlfriend but on two other occasions he knows where Dent is just to intervene in time For me the music was the only stand out on its own keeping the adrenaline up"
"420","the dark knight","2012-09-07","olliesuave-007",0.7," too dark","I know there were a lot of hype and excitement about this film but I think its the weakest in Christopher Nolans Batman trilogy Though it does have some strong movie elements such as good special effects high drama and a haunting music score this film is too dark even for Batman The plot drags action and violence are overkill and some of the cast performances were weakAs a fan of the comics I was hoping that this trilogy would follow the comic continuity more than the Tim Burton and Joel Schumacher series But it wasnt meant to beWe have a story about Batman trying to rid the city of the remaining mobs but ended up facing a new villain the Joker Later on in the story crimefighting Harvey Dent flips a nerve and turn into TwoFace While pretty good acting Heath Ledgers performance as the Joker was too manic and sadistic I didnt care for the makeup and costume as well Aaron Eckharts performance of Harvey DentTwoFace drove me off the wall  bland as Harvey Dent and much too angry as TwoFace I know Director Nolan wanted to avoid camp at all cost after what weve went through with Schumachers films but the story is too serious and dark I would highly recommend Batman Begins or The Dark Knight Rises over this While also dark those two films had much better character development compelling plots and a better balance of humorGrade D"
"421","the dark knight","2019-09-26","ezzeldin-z7",0.5," the dark knight is a rarity in hollywood","The phenomenal The Dark Knight reigns as the greatest superhero film of all time From its exhilarating first frame to its bittersweet last among the great strengths of The Dark Knight is the way it combines hardboiled naturalism with the kind of stunts mysterious and pulsating almost from start to finish and the most thematically sophisticated most philosophically profound most narratively complex unsettling reflection on the increasingly blurry boundaries between good and evilNolans constantly keeps us offbalance and fills us with breathless anticipation for the next stunning turnofevents so What you finally receive from The Dark Knight then isnt a message but a sensation which comes from the deliberately twisted form you learn how it feels to be in a vortex that just keeps sucking you downTo talk of Heath Ledgers performance is difficult merely because as gigantic as it is it is only one important feature of an intricately wrought canvasIts not just the best Batman film ever Its not just the best superhero movie ever Its more than a moneyspinner a franchise a comicbook cashin The Dark Knight is a stunning piece of work that deserves every word of praise spoken about it"
"422","the dark knight","2020-01-07","k_g_barreto",1," proving that comic book movies can be more","It surprises me that 12 years has passed since this film was released and no other film of the superhero genre have surpassed this one in terms of quality Not one of the MCU neither of the DCEU Of course we had great superheroes films but the Dark Knight have something else I think its the philosophical part Not trying to be deep or play the smart one its just the part that captivated me the most The idea of Batman being the ugly hero the monologue of Gordon in the ending of the film is outstanding and one of the reason I love Batman Joker that is heavily based on the version of the graphic novel Killing Joke of Alan Moore The agent of chaos and anarchy that have a twisted vision of the world The madness is like gravity phrase have the same concept of this quote of The Killing Joke All it takes is one bad day to reduce the sanest man alive to lunacy Thats how far the world is from where I am Just one bad day Of course theres more than that I loved Harvey Dent Jokers social experiment moment is just so powerful The concept of a hero defeating the villain not with punchs and kicks but proving that his view of world and ideology are both wrong is just fantastic and I knew Christopher Nolan wouldnt gave us less than thatAbout the rest that makes this film even more interesting Of course Nolans directing hes not that good at action sequences but nothing you cant ignore The amazing soundtrack of Hans Zimmer his music brings the buildup necessary to increase the tension and adds more emotions to the films most memorable moments Theres much more things that makes this film so great but the charm is without doubt Heath Ledgers acting a groundbreaking perfomance he steals every scene hes in hes charismatic even portraying a sociopath his laugh the mannerisms everything about his character is great One of the few comic book films that are a masterpiece but if they all were this good gems like this film wouldnt as relevant as it is"
"423","the dark knight","2008-10-08","skay_baltimore",0.4," it was the best of movies it was the worst of movies","1 This movie at least attempted to be more than just a glorified cartoon  by focusing on some exquisite moral choicesdilemmas beautyugliness loyaltybetrayal etc That is its main strength IMO2 This movie  as others have pointed out already  has SO MANY plot inconsistenciestotally unrealistic sequences even for a fantasy flick it falls BELOW cartoonlike in that regard That is its main  and most annoying  weaknessAs far as the acting goes  the Joker clearly stole the show But the problems werent really with the acting  they were with the totally unrealistic way the plot evolved Way too many subplots not enough glue holding the whole thing togetherYou have to give the director credit for trying to create something of epic proportions but you also have to hold him accountable for failing to deliver on that potential"
"424","the dark knight","2008-07-24","lordfrazer",0.4," did you people see the same film i saw","Do you REALLY think this was a better film than the Godfather The Good the Bad and the Ugly The Seven Samurai Pulp Fiction OK the Joker was a stand out performance and the rest were good but was this really the best film of all time Cant see how that happened and in 30 years this will sink to the middle of the pile where it should beYou want an examination of good and evil and the duality of man Watch the King of New York Its a better film than this Im not saying its not worth seeing but please this is NOT the best film of all timeThis may be the best Batman film weve seen but frankly I enjoyed Iron Man more The action was good the story reasonable and there were some good supporting acts but the whole experience doesnt move you like the Shawshank redemption it wasnt a seismic shift in filmmaking like Pulp Fiction or the Godfather The direction  better than Sergio Leone The film hasnt been hyped that much so where is this coming from"
"425","the dark knight","2008-08-14","agmoldham",0.6," over hyped","I think those media representatives from the film company can pat themselves on the back for the job theyve done with the Dark Knight The hype surrounding the film has been fever pitch for several months The furore on IMDb to get the film to be number 1 is a prime exampleThis is the second instalment of the latest Batman franchise The sad death of Heath Ledger has led to a clamour for an Oscar for his portrayal of the Joker Whilst it may be the best acting performance of the film I personally think his previous work was much more rounded and deserving of Oscar recognitionThe Dark Knight is a classic summer blockbuster  all action but not quite enough substance I personally enjoyed the first instalment more as this focused rather more on Bruce Wayne It seems his Batman really needs to go and see the doctor this time because that voice sounds very badIt would have been a much better film if one of the set pieces was dropped in place of adding some depth to the characters but Im sure a lot of the people who loved the film would violently disagree on that point This is definitely a film for the adrenalin junkies"
"426","the dark knight","2019-10-01","eddy-59133",0.3," amazing","Amazing film Closest thing we will ever get to a perfect superhero movie"
"427","the dark knight","2008-08-13","brian_r_wright",0.5," critic and crowd pleaser raucously uninspiring","Back to the movie clearly the actors are first rate and the dialog is entertaining I particularly enjoy the incarnation of The Joker by Heath Ledger which may bring Heath a posthumous Oscar nod the writers give him some clever lines like the you complete me phrase in the above quote from Jerry MaGuire But you know what Im not buying Im not buying that this Batman flick because of its dark humor is better than other comicbookinspired movies aside from the rare Joker line nothing in this movie is humorous dark or otherwise In fact its uncommonly depressing I suppose Knight is similar to the later Spider Man films in which were to solemnly consider the deep emotional conflicts presented to a postpubescent boy who has been given superhuman powersMy friends these are movies and movie advocates that take themselves way too seriously For my complete review of this movie and for other movie and book reviews please visit my site TheCoffeeCoastercomBrian Wright Copyright 2008"
"428","the dark knight","2008-07-19","dtucker86",1," ledgers good but hes no jack","I dont think I have ever seen a movie that has gotten as much hype as this one I dont think even the 1989 Batman got as much publicity Too much prehype can really hurt a film I give Snakes On A Plane as an example I saw it today and wanted to set down my observations Yes it is a good film with a lot of action I grew up watching the Adam West Batman light hearted and campy The title of this movie is accurate they do make him as a dark night who has almost as much inner torments and demons as the villains he pursues He has just not let the darkness overwhelm him Like everyone else I was saddened by Heath Ledgers tragic death and I think that might be one of the reasons for the raves about his performance people see it with their hearts instead of their heads The truth of the matter is that yes he does give a good turn as the Joker He brought his considerable talent to the role and truly made it his own However he did not for one moment make me forget Jack Nicholson That was one part Jack was born to play and Ledger was real gutsy to even try but he didnt come close Ledger was good but there is only one Jack Nicholson and he is the best Sorry Heath have fun in Heaven though"
"429","the dark knight","2008-09-10","cosmorados",0.3," if this is as great as everyone tells me why do so many people agree with my criticisms","Gotham is cleaning its act up Batman is a successful crime fighting Legend Jim Gordon is moving up the ranks and Harvey Dent is a tourdeforce for the city as its high flying District Attorney Nothing can go wrong can it Well that it is except for a lunatic criminal called the Joker decides to bring chaos to Gotham Batman is faced with a criminal who will stop at nothing to make a point and is seemingly always one step ahead of the Dark Knight will he cross the line and kill to stop the madman and make Gotham safe and will Bruce Wayne get to hang up his cape and get the happiness he deservesAfter Batman Begins the scene was set for a bigger and better film to follow and after hearing all the hype I felt that this film could not fail I was very wrong There are a number of issues that I had with the film that I have yet to hear a good defence for The great films may not be liked by everyone for bizarre reasons but their criticisms are usually swept aside by the faithful There are far too many errors in this film for it to pass such tests I will address them one at a time as one by one these spoilt the film for meThe first is that the film drags and drags and drags Around the time of Batmans big decision of who he gets to save seems to be the perfect time to end it on an Empire style ending instead it goes on and on and we have about thirty to forty minutes extra to wrap everything up that the film simply doesnt need End it with suspense leave me on a high but if Im looking at my watch youve failedTwo the performance of Heath Ledger is not all that Yes he is dead and this is sad but the Joker we get in this film is sadly not the Joker of The Killing Joke or the Joker of The Dark Knight sadly it is somewhere inbetween and this version is very mishmashy added to that the makeup changes from scene to scene when the jokers skin is supposed to be white all the time also the makeup should make him look like hes smiling DO YOU GET IT WRITERS HE IS CALLED THE JOKER Did he laugh"
"430","the dark knight","2012-01-04","curiositykilledshawn",0.6," why is it so serious","Three and a half years after the hype sycophantic reviews and mass hysteria have died down I am now ready to review this film with a levelheaded opinion Is it good Yes quite Is it the icon of intelligent summer movie perfect that the fanboys proclaim it to be No certainly not The Dark Knight has faults not the least of which is the unjustifiably bloated running timeWith criminals in Gotham now looking over their shoulders or should I say to the sky for Batman the crimerate is gradually falling But when anarchic nihilistic Joker appears to stir things up between the cops and crooks the fight against crime is cranked up to the max The Joker is out to create as much chaos as possible not caring for himself or others Meanwhile District Attorney Harvey Dent tackles the criminals as honestly as he can with Rachel Dawes glassyeyed and Bruce Wayne competing for her affections This is spread out over 153 minutes and in long stretches youll begin to feel every second of itMuch of this films running time could have been trimmed and many scenes jettisoned I know I am not alone in admitting that a sequence midway through the film involving dead bodies in an apartment and the rebuilding of a shattered bullet just confuses me The sequence seems to come out of nowhere I know Batman is supposed to be a detective but this was just nonsense Nolan could have come up with a better method of leading Bruce Wayne to the trap with the window and sunshade Also there is a moment near the end when Salvatore Marone tells Commissioner Gordon that he knows where the Jokers going to be Nothing becomes of thisYoud have to be pretty stupid not to connect the dots when it comes to the corrupt cops who sellout Gordon at every opportunity too Real lazy writing there I just couldnt get involved with Harvey Dent either His story struggle and motivations did not interest me in the slightest and I found the character flat and boring Gary Oldman as Gordon also bored me to tears What exactly are we supposed "
"431","the dark knight","2009-01-03","pninson",0.5," a major disappointment","This movie was so wildly praised by critics and fans alike that it was hard not to have somewhat diminished expectations It cant be that great right RightI cant say this is a bad movie just not a very interesting one It begins promisingly with a superbly executed set piece with the Joker staging a daring bank robbery This is a very nicely done action sequence and Heath Ledgers Joker does indeed live up to the hype Its a genuinely strange characterization and the story built around it should workAfter that the movie starts to drag There are far too many long talky sequences followed by the usual slambang action scenes that are shot from a distance so you cant see whats really going on Whats really missing from the action is any sense of a story theres just more of the same that you usually see in a superhero picture Been there done thatAnother fatal mistake is one that happens far too often too many villains This was a major problem with the 90s Batman films you have to squeeze the Penguin and Catwoman and Christopher Walken into one film with no time left for anything like character development In this movie the focus is on the Joker but thats not enough we have TwoFace into the mix who only becomes TwoFace at the twohour mark leaving only a short time for him to be dispatched by our heroTwoFace was my favorite of the old Batman Rogues Gallery and he deserved a story all his own Throwing him in as an afterthought to the Joker particularly when Ledgers scenery chewing overshadows everything else in the picture including Batman both makes the film far too long and blunts its impactLost somewhere in all this is Batman who almost seems absent from the picture Although he has to make a tragic choice there seems to be no character development and Bales performance is practically phoned in Michael Caine and Morgan Freeman contribute their customary gravitas but again this just adds to the extreme length of the pictureBatman Begins was a strong picture and Im puzzled as to "
"432","the dark knight","2020-03-23","saloumy",0.7," overhyped  overlong ","One of the overhyped movies for me It was slow boring annoying at some scenes and unnecessarily overlong I felt like they wanted to stuff it with stories  elements more than it should It was hard for me to follow  to stay focused all along with the plot I had to stop the movie several times to play with my phone  check when will it be finishedI gave this movie 5 for its visuals and for heath ledgers good performance of joker"
"433","the dark knight","2020-05-28","med-jasta",0.5," 12 years later","As a huge fan of Begins anda Batman fan in general I was very excited by this movie Im not really sure why this became as big a hit as it did but I was glad that everyone was onboard The only things that initially disappointed me were things like Two Face dying and things like that because hes so important to Batmans future But as we know now they werent creating a Batman series they were telling a 3 part story Thats what they did so well in these movies take the established characters and make it their own I was also disappointed that the heart of Begins was kinda missing Of course Rises makes up for this making this middle chapter the action movieHeath Ledger was a strange choice initially and everybody was mad I trusted Nolan after Begins and of course Ledger was great I love their take on the Joker as the criminal and the smart guy And of course the paint and scars and doing away with the acid Also not knowing his background is much stronger People always act like hes this really deep and complex character and its not I do think his performance is a little much at times good but could be dialed down in placesHarvey Dent was also done brilliantly His whole storyimpact on Batman is done here and in Rises He wants to do the right thing and looses it If there was more time Im sure he could have come back to the good sideThe story puts Batman to the test in every way When you look back on the series hes really only Batman for 6 months He comes back for the events in Rises but even then hes at war and not fighting crimeThese movies are focused on grounding Batman Like how the bad guy is mobcorruption and not super villains Batman is created from Gotham needing him not his declaration that Gotham needs him Then The Joker wears paint because of him He would have always been a criminal but the fact that a masked man is around causes him to escalate his own look In the movies this stuff is unprecedented no one thinks its normal at allIm not really sure how this movie beca"
"434","the dark knight","2008-09-16","badajoz-1",1," laughable  batman trying to be an arthouse movie","Batman is a comic strip The Dark Knight thinks its Dostoyevsky Over long exceedingly tiresome and boring one note performances stale CGI stunts with a script that is more pretentious than portentous Director Chris Nolan gets some marks for subtly taking the rise out of Bush and America and convincing a very large audience they are watching Fellini Tarantino M Mann and Carol Reed all rolled into one Yes folks if its dark it must be a serious film I loved the holes in the plotmust be deliberate when The Joker says he is an anarchist who does not plan but then produces several stunts that would have required Rand McNally precision and hundreds of accomplices And pleaseI know he died under strange circumstances but Heath Ledger although not badis miles behind Jack Nicholson As for the rating certificate the British censor should be thoroughly ashamed of himself or did he think it was just a Tom and Jerry comic cartoon"
"435","the dark knight","2008-08-04","tieman64",0.6," operation enduring freedom","Work in the shadows A lot of what needs to be done here will have to be done quietly without any discussion using any means at our disposal to achieve our objective  Dick CheneyThe more powerful the class the more it claims not to exist and its power is employed above all to enforce this claim  Guy DebordChris Nolans Dark Knight stars Christian Bale as Bruce Wayne a millionaire weapons contractor who moonlights as Batman a powerful superhero who beats up terrorists Politically some critics believe the film to be advocating the suspension of democracy in a time of terror Others see it as endorsing scepticism of a leaders claims to free reign during a state of emergency which is often the leaders own creationThe truth is the film presents the usual twoparty false binary present year after election year Batman and politician Harvey Dent Aaron Eckhart represent the opposite poles of socalled democratic politics Batman operating outside the law to protect the defenceless people of Gotham City represents your typical BushCheneyNixon cryptofascist rationalising what he does torture law breaking etc for the good of the homeland Kipling called this the white mans burden men rationalise their evil as a noble and necessary burden which must be righteously carried so as to spare others the load Dent meanwhile along with one Rachel Dawes Maggie Gyllenhaal are idealistic bythebooks types Both learn to be pragmatic and collaborate with vigilantes Batman if only to take down bad guys Batman Dent thinks has become a necessityThe film really tips its ideological hand during its Greektragedy final hour Dawes the most liberal of all the good guys dies at the hands of a terrorist called Joker Heath Ledger whilst the pragmatist Dent scarred in war abandons his ideals and embraces the Jokers ethos of chaos In other words we must accept the cold embrace of Batman if we want to be secure Dents law abiding idealism doesnt work Its two faced and is merely a mask for chaos and disorderThe Joke"
"436","the dark knight","2008-09-01","dcw-12",0.8," not nearly as good as the first film and only interesting because of ledgers joker","Ledger is irresistibly interesting in his portrayal of the Joker despite the somewhat hackneyed plot and his performance saves the film from disaster Without his performance I would have walked out as the rest of the film was trite melodramatic garbageChristian Bale gives wood a bad name as he soullessly meanders through the role The guttural growling he performs as Batman may make sense to the plot but its almost unbearable to listen to The previous film with Bale a beaten down outcast and a man struggling for an identity was infinitely more interesting from an acting perspective than this film Bale feels trapped in the role in this film going through the motions and he seems bored and unchallenged almost not knowing what to do with it The plot also doesnt have the structure of the previous film There was a appreciable beginning middle and end of the previous film that let things percolate the action build the plot be exposedThis film is too evenly paced and like an unstructured watercolor the plot runs together and gets lost somewhere along the lineor maybe I just lost interest I remember seeing a scene with the Joker in a nurses costume and while the character was interesting not knowing or caring at that point why the Joker was blowing the place up The TwoFace character was fairly weak the emotions in the wronged Harvey Dent seemed forced and the plot explanation of his dogooder gone wrong personality seemed hamfisted Maggie Gyllenhaal was not a particularly interesting character and there were no fireworks between her and either Bale or Eckhart Michael Caine almost seemed to be biting his lips to spit out the lines in the film He seems to be almost embarrassed to be in the film Acting wise the highlights are Gary Oldman Morgan Freeman and of course Heath Ledger who you never doubt 100 inhabit their parts and actually add something positive to the filmUnfortunately they are fighting an uneven script a hackneyed story and bad acting from Bale and others the whole"
"437","the dark knight","2021-05-03","leckyzach",0.5," basic","Some good elements and some I thought were kind of bad Certainly not deserving of a 910 on IMDBActing was good but theres just something missing about this movie"
"438","the dark knight","2009-01-14","karydacunha",0.7," overrated and two face has no face","This Batman installment isnt a bad one its just been completely overrated since the passing of Heath Ledger Secondly there was way too much material to be packed into the three hours alloted If anyone knows anything about the back story of Harvey DentTwo Face they are just left feeling empty and the character itself unjustified I understand Nolan was trying to do something different with the Joker but why disrespect Two Face Also there was really no BatmanBruce Wayne complex which I enjoy and feel is important to every Batman film Overall a good action film but will not be adding to my Batman movie collection Hopefully Nolan brings back Two Face in the next film and gives him a face"
"439","the dark knight","2008-07-22","faena",1," lets be realistic","I settled on a 510 for The Dark Knight I appreciated the story structure and all the notes they hit I just dont think they played them loudly I dont like recasting and the replacement of Katie HolmesRachel and the original Barbara Gordon actress yes her too didya notice is awkward and distracting The lack of ANY blood in the film to complement the multitude of beatings and killings to sustain a PG13 rating nullifies the tension that should be present in some brilliantly conceived scenarios I didnt believe for a second that the victims of several hostage situations mass or otherwise would actually lose their lives because its blisteringly apparent from the onset that this film is a PG13 and would never disturb its audience beyond the minimum necessary plot points The Joker is actually underwritten Ledger was game and his performance solid but honestly Throw the makeup and stringy hair on 75 of capable actors out there and you have the same product I think Jack Nicholsons output is ultimately more interesting and I think that Tim Burtons original film although imperfect is still the most entertaining in the pantheonI realize that to hardcore Batman fans this is a wet dream having the grittiness of the graphic novels transposed to the big screen if they say so I say it came close but riddle me this If the same script was fashioned into a nonsuperhero flick lets say Heat II and had the same strong performances and production values would the lack of Batman fan loyalty still rocket it to its current position on the IMDb Top 250"
"440","the dark knight","2008-07-31","pk-2",0.7," way overrated","The buzz from the entire media and the general public made it sound like this was the second coming of Star Wars Well it wasnt A matter of fact this way over hyped pile of garbage is one of the worse movies i have seen in years Where to begin Lets start with the so called great acting You must be kidding me Ledger does not deserve an Oscar nomination for this If anything Jack Nicholson does a far better job playing the Joker Christian Bale basically mumbles through most of his Bat man parts and isnt much better when he isnt Plot is stupid as heck They make the Joker sound like some super human beast from another world A dozen officers with machine guns would of killed him off in 2 seconds But i guess that would of ruined the story line Any way you analyze this movie Its just plain old bad"
"441","the dark knight","2021-02-08","treymoncrieff-29917",0.3," best movie ever","Keep the rating above 9 This film is amazing Not only one of the best comic book movies but one of best movies in the world"
"442","the dark knight","2010-03-22","mattrochman",0.3," ledger sublime film overplotted","This was a pretty good film The production quality was magnificent and Ledgers performance as the joker was magnificentOverall it opened strongly and for the most part it was an engaging film with plenty of action and plot twists However there was something a bit overdone about the film As another reviewer said the ending felt as if it was built on as it was not born out of the main storylineSecond there were too many subplots that distracted from the overarching plot of the film Similarly there were abnormalities and things we feel are important seem to drop in and out of the storylineWas Wayne still in love with Rachel Was she still in love with him Why did this fade in and out of importance Was the joker trying to catch the batman for a share of the crime syndicates money Yes no but yes but ultimately no Is Batman retiring Yes no But why would he Seemed the reason given was vague and confusingWhat happened to the Lau The crooked accountant snatched out of Hong Kong The transformation of Dents character was a bit odd and the dialogue at the end about Batman being the dark knight was a bit dumb I did like it but the screenplay and plotting was overdone and not enough focus was given to the primary plots So in the end it came off a bit scrambled Excellent performances all round I must say"
"443","the dark knight","2008-07-19","helmutty",0.1," better than begins","Actually first of all I cant compare Batman Begins with the Dark Knight They have different plot Begins shows the introduction of Batman the origin of Batman The Dark Knight has a more darker plus interesting plot It is commendable Plus bigger action pieces the movie goes in deep with humans feelings It is quite good and I understand it receives a lot of positive reviews Christopher Nolan did a good job in everything in the movie making the story deep and dark but engrossingThe story The Joker is trying to destroy Gotham and wants to kill Batman at first With his trick plans nobody even Batman can find him or predict his next move Batman must stop the Joker from further destruction of Gotham From there humans emotions slowly rise There are some big action pieces plot that you want to know and electronic music I am somewhat disappointed with Twoface aka Harvey Dent considered the white knight I wished that Twoface will be given a bigger role Other from that it is hard to see any faults with the movie Acting is good Heath ledger makes a good jokerOverall It is good to watch this in cinema The runtime although long seems to pass quickly You wont be disappointed The first scene features bank robbing to hype the audience It not only shows you that it has the big action shows the bad and good of a human which is one of the thing in the movie"
"444","the dark knight","2008-08-12","stamp-3",0.6," a batman movie","Anyway I finally got round to seeing The Dark Knight and given the overwhelming and fanatical praise the movie has engendered a rather negative critical evaluation which pours cold water on the mass hysteria seems a bit pointless Because what do I know But here goes anywaySo lets confine ourselves to a couple of observations that might give the adoring fans some food for thoughtThe plot whilst completely linear and in fact rather banal was confusingly laid out and not because Nolan was trying for anything enigmatic or even thought provoking simply it was a tale not very well told Muddying up a plot especially one so basic is not the mark of a clever movie simply a poor oneThe fight scenes were likewise confused and consequently rather uninvolving And somebody must have been on a bonus to see how many shots of the back end of the Batcycle could be included in the final cutPOSSIBLE SPOILER ELEMENTPOSSIBLE SPOILER ELEMENTBut the real surprise for me was the misuse  and I think it is misuse however deliberately it was conceived  of the central character of BatmanBatman was essentially a bystander in his own movie He didnt really seem to do anything other than swan off to Hong Kong a sub plot that seemed to be taken from a another movie altogetherHarvey Dent was the protagonist of this film and The Joker the antagonistBatman was seemingly cast adrift totally peripheral and rather ineffective It seemed to me that everyones destiny was settled without much help from Batman and even the Joker achieved pretty much what he wanted to doId almost go as far to say that if the movie had done away with Batman and had been rewritten as a straight crime procedural it would have been a better movie Now Nolan and his buddies obviously know what they wanted to achieve which is fair enough I am just surprised with the impression I was left withStill as I said at the beginning I am really the wrong person to critique this film I was cajoled into going and I thought well it will probably "
"445","the dark knight","2008-08-05","barberoux",1," good summer movie no masterpiece","It is a good movie It is not a great movie After all of the hype I was a bit disappointed I enjoyed the movie but thought it was just a run of the mill superhero action flick The performances were good All of the actors were believable and Heath Ledgers Joker was a great character but it was a one note performance There was no real depth to the character for me Each time he appeared he acted in the same psychotic manner but there wasnt an exploration as to why he was doing what he was doing or where he planned to take the story The story was just a simplistic hatred of Batman and a want to unmask him Sorry same old same old Superhero movies suffer from clichd story lines Superman in each movie will be exposed to kryptonite Profess his unfulfilled love for Lois Lane why I dont know She is usually portrayed as some skinny ambitious harpy and is eventually saved from the bad guy by some babe Spiderman yearns with unfulfilled love for his girlfriend and fights off some bad guy while reminiscing again about his Uncle who we get to see die again Batman will struggle with his demons while fighting off another bad guy punctuated by corrupt cops and double crosses Maggie Gyllenhaal is a fine actress and is attractive but she is not an outstanding beauty who would attract the Joker to her in lieu of all of the other babes in the room It is not helpful when the script has to tell you that the character is beautiful The characters looks should tell you she is beautiful Monique Curnen was there to provide the corrupt cop One of many She was wasted Give me something new and fresh Not a new gadget but a new story line Explore more than the obvious This movie was a series of vignettes of action scenes and simplistic twists There were way too many deus ex machina moments and the twists did nothing but provide excuses for more action scenes SPOILER ALERT The scene with the cop being goaded by the joker to beat him up was clumsily telegraphed Gordan appearing again at the exact opport"
"446","the dark knight","2008-07-20","alexkolokotronis",1," a sign of hope","Wow How else could I describe this movie I was wondering how this could possibly better than Batman Begins but the truth is it was a different type of a movie Yet it still held those morals of righteousness faith ethics responsibility and so on it was just presented in a different wayThe acting was amazing overall Maybe not every individual performance was first rate but as a whole the cast was among the best ever Christian Bale who is undoubtedly the best Batman ever and probably the best superhero ever like in Batman Begins provides a deep and thought provoking performance One with authenticity validity purity and most of all originality His performance is subtle yet compelling it is not by what we as a culture would like to think of as heroic but in my thinking that is exactly what it is Unlike every other superhero he does not have superpowers He is an intellectual who needs to rely on his and his friends intelligence in order to do what he does He is not an actual superhero he is a man A man with the audacity to do what is always right even when no one else would do so Bale throughout is able to display the turbulent lifestyle he lives in and how at times he The Batman himself has to question his own moralityThe best performance of the movie though was not Bales its Heath Ledgers Like Bale he brings originality to a comic book character It seems though that in every comic book movie the villains are never quite as unusual or scary as they should be Ledger in this movie is able to pull off what repeatedly other actors have failed to do as comic book villains give you that bone chilling feeling Entirely throughout he brings intensity beyond intensity His performance is so capturing and disturbing that he makes you laugh out of sheer horror something that you rarely feel while watching a movie The most frightening part about the way he portrays his character is not his freakishness its that his performance is not the least bit cartoonish it is in fact very real Hi"
"447","the dark knight","2008-08-03","johcafra",0.4," the jokes on us","for simply put this is to comic bookgraphic novel adaptations what The Godfather Part II is to gangster movies Relentlessly dark brooding tangled mythic disturbing none of that alternating and then some Long too It is neither uplifting nor a place to park the kidsI devoured my share of comic books when much younger and felt obliged but not compelled to sample their motion picture adaptations In particular no fan of the Batman series am I Tim Burton aimed for weird and hit the target Joel Schumacher aimed for Ken Russell and missed oh so wide Christopher Nolan and company got the keys to the franchise and did something certifiably different Hats off for thatIn sumAbout a halfhour too long and that final halfhour was actionpacked befuddlement capped by not one but two unnecessary speeches that were effectively blotted out by that packed actionHeath Ledgers performance will echo in your mind for some time to come It had to have echoed in his own Grant the man restSo will or should the performances of everyone else most notably Aaron Eckhart and Gary Oldman for their respectively surprising turns of characterWith age Eric Roberts looks like Willem Dafoe and Nestor Carbonell looks unnervingly like Peter Mark RichmanI believe were close to breaking the sound barrier of digital FX where you dont appreciate them til theyre hurled at you and cant appreciate them when you doIve heard my share of edited gunshots and explosions for the year and quite possibly the next two or three But at least the violence wasnt stylized If I wanted that Id rent A Clockwork OrangeWhat awards this film will win will be well and truly earned All the same I cant guess where the franchise will go next I sincerely hope its left where it is with the goal of applying the same considerable attention and resources to finding learning articulating and displaying something novel The participants in this film are surely capable of all of that"
"448","the dark knight","2010-09-18","j-lacerra",1," dark nought","I rented this movie to see Heath Ledgers Oscarwinning performance I endured about an hour of this dreck and finding nothing compelling in Ledgers work or anyone elses turned it off before my mind turned to jelly Admittedly the film is wellproduced if somewhat dark and foreboding I would have continued watching if the film was less stilted and took itself a bit less seriously campy and ridiculous as the material intrinsically is But it does not go for laughs and therefore becomes laughableI found Christian Bale annoying as usual and was surprised at just how annoying Maggie Gyllenhaal with whom I was not familiar came across One word kept pummeling my consciousness as I watched STUPID But I guess these kinds of flicks thrive on stupid So despite the big budget big names expensive CGI positive reviews and allaround high production values there is still no remedy for stupidMiss it and save your brain cells"
