"","title","author","subject","abstract","meta"
"32","Simple model for the kinetics of stimuli-responsive gels with porous structures","Yuhei Yamada, Shingo Maeda","Soft Condensed Matter ","Stimuliresponsive gels are the gels that vary the volume depending on environmental conditions. It has been reported that the stimuliresponsive gel with an inhomogeneous structure exhibits faster volume change than the gel without it. It is understood as a difference in the transfer dynamics of the solvent though there are few models for discussing the effect of inhomogeneity explicitly. In this paper we propose a simple model for the kinetics of volume change by introducing inhomogeneity as the probability distribution for a random variable that characterizes the structure. Under this framework we demonstrate that inhomogeneity actually increases the rate of volume change. Furthermore through analysis of a simplified example we show that some features that are often seen in experiments can be reproduced by the model. This model provides a simple equation for the time series of volume change that can be used to characterize the experimental data based on a simple physical picture of the phenomenon.","Mon, 19 Feb 2024 17:24:35 UTC (45 KB)"
"33","Amplifying Training Data Exposure through Fine-Tuning with Pseudo-Labeled Memberships","Myung Gyo Oh, Hong Eun Ahn, Leo Hyun Park, Taekyoung Kwon","Computation and Language ","Neural language models (LMs) are vulnerable to training data extraction attacks due to data memorization. This paper introduces a novel attack scenario wherein an attacker adversarially finetunes pretrained LMs to amplify the exposure of the original training data. This strategy differs from prior studies by aiming to intensify the LMs retention of its pretraining dataset. To achieve this the attacker needs to collect generated texts that are closely aligned with the pretraining data. However without knowledge of the actual dataset quantifying the amount of pretraining data within generated texts is challenging. To address this we propose the use of pseudolabels for these generated texts leveraging membership approximations indicated by machinegenerated probabilities from the target LM. We subsequently finetune the LM to favor generations with higher likelihoods of originating from the pretraining data based on their membership probabilities. Our empirical findings indicate a remarkable outcome LMs with over 1B parameters exhibit a four to eightfold increase in training data exposure. We discuss potential mitigations and suggest future research directions.","Mon, 19 Feb 2024 14:52:50 UTC (277 KB)"
"34","Yamdb: easily accessible thermophysical properties of liquid metals and molten salts","Tom Weier, William Nash, Paolo Personnettaz, Norbert Weber","Materials Science ","Yamdb (Yet another materials data base) addresses the need to provide thermophysical properties of liquid metals and molten salts in an easily accessible manner. Mathematical relations describing material properties  usually determined by experiment  are taken from the literature. Equations and their coefficients are stored separately. The former can be implemented in any programming language (Python and Go in this case) and the latter are kept in YAML files together with additional information (source temperature range composition accuracy if available etc).","Sun, 28 Jan 2024 15:20:12 UTC (313 KB)"
"35","DeepSRGM -- Sequence Classification and Ranking in Indian Classical Music with Deep Learning","Sathwik Tejaswi Madhusudhan, Girish Chowdhary","Sound ","A vital aspect of Indian Classical Music (ICM) is Raga which serves as a melodic framework for compositions and improvisations alike. Raga Recognition is an important music information retrieval task in ICM as it can aid numerous downstream applications ranging from music recommendations to organizing huge music collections. In this work we propose a deep learning based approach to Raga recognition. Our approach employs efficient pre possessing and learns temporal sequences in music data using Long Short Term Memory based Recurrent Neural Networks (LSTMRNN). We train and test the network on smaller sequences sampled from the original audio while the final inference is performed on the audio as a whole. Our method achieves an accuracy of 88.1% and 97 % during inference on the Comp Music Carnatic dataset and its 10 Raga subset respectively making it the stateoftheart for the Raga recognition task. Our approach also enables sequence ranking which aids us in retrieving melodic patterns from a given music data base that are closely related to the presented query sequence.","Thu, 15 Feb 2024 18:11:02 UTC (557 KB)"
"36","Review of the Learning-based Camera and Lidar Simulation Methods for Autonomous Driving Systems","Hamed Haghighi, Xiaomeng Wang, Hao Jing, Mehrdad Dianati","Computer Vision and Pattern Recognition ","Perception sensors particularly camera and Lidar are key elements of Autonomous Driving Systems (ADS) that enable them to comprehend their surroundings for informed driving and control decisions. Therefore developing realistic camera and Lidar simulation methods also known as camera and Lidar models is of paramount importance to effectively conduct simulationbased testing for ADS. Moreover the rise of deep learningbased perception models has propelled the prevalence of perception sensor models as valuable tools for synthesising diverse training datasets. The traditional sensor simulation methods rely on computationally expensive physicsbased algorithms specifically in complex systems such as ADS. Hence the current potential resides in learningbased models driven by the success of deep generative models in synthesising highdimensional data. This paper reviews the current stateoftheart in learningbased sensor simulation methods and validation approaches focusing on two main types of perception sensors cameras and Lidars. This review covers two categories of learningbased approaches namely rawdatabased and objectbased models. Rawdatabased methods are explained concerning the employed learning strategy while objectbased models are categorised based on the type of error considered. Finally the paper illustrates commonly used validation techniques for evaluating perception sensor models and highlights the existing research gaps in the area.","Mon, 29 Jan 2024 16:56:17 UTC (9,918 KB)"
"37","An Approximation Based Theory of Linear Regression","Laurie Davies","Methodology ","The goal of this paper is to provide a theory linear regression based entirely on approximations. It will be argued that the standard linear regression model based theory whether frequentist or Bayesian has failed and that this failure is due to an assumed (revealed?) truth (John Tukey) attitude to the models. This is reflected in the language of statistical inference which involves a concept of truth for example efficiency consistency and hypothesis testing. The motivation behind this paper was to remove the word `true from the theory and practice of linear regression and to replace it by approximation. The approximations considered are the least squares approximations. An approximation is called valid if it contains no irrelevant covariates. This is operationalized using the concept of a Gaussian Pvalue which is the probability that pure Gaussian noise is better in term of least squares than the covariate. The precise definition given in the paper is intuitive and requires only four simple equations. Given this a valid approximation is one where all the Gaussian Pvalues are less than a threshold $p0$ specified by the statistician in this paper with the default value 0.01. This approximations approach is not only much simpler it is overwhelmingly better than the standard model based approach. This will be demonstrated using six real data sets four from high dimensional regression and two from vector autoregression. Both the simplicity and the superiority of Gaussian Pvalues derive from their universal exactness and validity. This is in complete contrast to standard F Pvalues which are valid only for carefully designed simulations. The paper contains excerpts from an unpublished paper by John Tukey entitled `Issues relevant to an honest account of databased inference partially in the light of Laurie Daviess paper.","Thu, 15 Feb 2024 10:23:48 UTC (702 KB)"
"38","Permittivity Estimation in Ray-tracing Using Path Loss Data based on GAMP","Yuanhao Jiang, Shidong Zhou, Xiaofeng Zhong","Signal Processing ","In this paper we propose a modified Generalized Approximate Message Passing (GAMP) algorithm to estimate permittivity parameters using path loss data in raytracing model.","Wed, 14 Feb 2024 13:43:10 UTC (76 KB)"
"39","Comparing skill of historical rainfall data based monsoon rainfall prediction in India with NCEP-NWP forecasts","Apoorva Narula, Aastha Jain, Jatin Batra, Sandeep Juneja","Machine Learning ","In this draft we consider the problem of forecasting rainfall across India during the four monsoon months one day as well as three days in advance. We train neural networks using historical daily gridded precipitation data for India obtained from IMD for the time period $1901 2022$ at a spatial resolution of $1^{circ} 	imes 1^{circ}$. This is compared with the numerical weather prediction (NWP) forecasts obtained from NCEP (National Centre for Environmental Prediction) available for the period 20112022. We conduct a detailed country wide analysis and separately analyze some of the most populated cities in India. Our conclusion is that forecasts obtained by applying deep learning to historical rainfall data are more accurate compared to NWP forecasts as well as predictions based on persistence. On average compared to our predictions forecasts from NCEPNWP model have about 34% higher error for a single day prediction and over 68% higher error for a three day prediction. Similarly persistence estimates report a 29% higher error in a single day forecast and over 54% error in a three day forecast. We further observe that data up to 20 days in the past is useful in reducing errors of one and three day forecasts when a transformer based learning architecture and to a lesser extent when an LSTM is used. A key conclusion suggested by our preliminary analysis is that NWP forecasts can be substantially improved upon through more and diverse data relevant to monsoon prediction combined with carefully selected neural network architecture.","Mon, 12 Feb 2024 17:59:20 UTC (27,478 KB)"
"40","Physics-informed machine learning as a kernel method","Nathan Doumèche (LPSM, EDF R&D OSIRIS), Francis Bach (DI-ENS), Claire Boyer (IUF, LPSM), Gérard Biau (LPSM)","Artificial Intelligence ","Physicsinformed machine learning combines the expressiveness of databased approaches with the interpretability of physical models. In this context we consider a general regression problem where the empirical risk is regularized by a partial differential equation that quantifies the physical inconsistency. We prove that for linear differential priors the problem can be formulated as a kernel regression task. Taking advantage of kernel theory we derive convergence rates for the minimizer of the regularized risk and show that it converges at least at the Sobolev minimax rate. However faster rates can be achieved depending on the physical error. This principle is illustrated with a onedimensional example supporting the claim that regularizing the empirical risk with physical information can be beneficial to the statistical performance of estimators.","Mon, 12 Feb 2024 09:38:42 UTC (1,863 KB)"
"41","Multi-class real-time crash risk forecasting using convolutional neural network: Istanbul case study","Behnaz Alafi, Saeid Moradi","Machine Learning ","The performance of an artificial neural network (ANN) in forecasting crash risk is shown in this paper. To begin some traffic and weather data are acquired as raw data. This data is then analyzed and relevant characteristics are chosen to utilize as input data based on additional tree and Pearson correlation. Furthermore crash and noncrash time data are separated; then feature values for crash and noncrash events are written in three fourminute intervals prior to the crash and noncrash events using the average of all available values for that period. The number of noncrash samples was lowered after calculating crash likelihood for each period based on accident labeling. The proposed CNN model is capable of learning from recorded processed and categorized input characteristics such as traffic characteristics and meteorological conditions. The goal of this work is to forecast the chance of a realtime crash based on three periods before events. The area under the curve (AUC) for the receiver operating characteristic curve (ROC curve) as well as sensitivity as the true positive rate and specificity as the false positive rate are shown and compared with three typical machine learning and neural network models. Finally when it comes to the error value AUC sensitivity and specificity parameters as performance variables the executed model outperforms other models. The findings of this research suggest applying the CNN model as a multiclass prediction model for realtime crash risk prediction. Our emphasis is on multiclass prediction while prior research used this for binary (twoclass) categorization like crash and noncrash.","Fri, 9 Feb 2024 10:51:09 UTC (1,147 KB)"
"42","Neuronal functional connectivity graph estimation with the R package neurofuncon","Lauren Miako Beede, Giuseppe Vinci","Neurons and Cognition ","Researchers continue exploring neurons intricate patterns of activity in the cerebral visual cortex in response to visual stimuli. The way neurons communicate and optimize their interactions with each other under different experimental conditions remains a topic of active investigation. Probabilistic Graphical Models are invaluable tools in neuroscience research as they let us identify the functional connections or conditional statistical dependencies between neurons. Graphical models represent these connections as a graph where nodes represent neurons and edges indicate the presence of functional connections between them. We developed the R package neurofuncon for the computation and visualization of functional connectivity graphs from largescale data based on the Graphical lasso. We illustrate the use of this package with publicly available twophoton calcium microscopy imaging data from approximately 10000 neurons in a 1mm cubic section of a mouse visual cortex.","Thu, 8 Feb 2024 18:42:04 UTC (1,656 KB)"
"43","Nature of the diffuse emission sources in the H I supershell in the galaxy IC 1613","Anastasiya D. Yarovova, Alexei V. Moiseev, Ivan S. Gerasimov, Milica M. Vučetić, Oleg V. Egorov, Dragana Ilić, Ilya A. Mereminskiy, Yury V. Pakhomov, Olga N. Sholukhova","Astrophysics of Galaxies ","We present a study of the nearby lowmetallicity dwarf galaxy IC 1613 focusing on the search for massive stars and related feedback processes as well as for faint supernova remnants (SNR) in late stages of evolution. We obtained the deepest images of IC 1613 in the narrowband H{alpha} He II and [S II] emission lines and new longslit spectroscopy observations using several facilities (6m BTA 2.5m SAI MSU and 150RTT telescopes) in combination with the multiwavelength archival data from MUSE/VLT VLA XMMNewton and Swift/XRT. Our deep narrowband photometry identifies several faint shells in the galaxy and we further investigate their physical characteristics with the new longslit spectroscopy observations and the archival multiwavelength data. Based on energy balance calculations and assumptions about their possible nature we propose that one of the shells is a possible remnant of a supernova explosion. We study five out of eight WolfRayet (WR) star candidates previously published for this galaxy using the He ii emission line mapping MUSE/VLT archival spectra and new longslit spectra. Our analysis discards the considered WR candidates and finds no new ones. We found P Cyg profiles in H{alpha} line in two stars which we classify as Luminous Blue Variable (LBV) star candidates. Overall the galaxy IC 1613 may have a lower rate of WR star formation than previously suggested.","Wed, 7 Feb 2024 18:57:52 UTC (5,068 KB)"
"44","Competitive advantage of URLLC vs. eMBB for supporting timeliness-relevant services","Luis Guijarro, Jose-Ramon Vidal, Vicent Pla","Networking and Internet Architecture ","5G specifications promise a common and flexibleenough network infrastructure capable of satisfying diverse requirements of both current and future use cases. Two service types standardized in 5G are eMBB without stringent delay guarantee and URLLC with stringent delay guarantee. We focus on a use case where data timeliness is the relevant quality parameter. We provide an economic rationale for the support of databased services that is from the point of view of the profits attained by the service providers and operators (SP). More specifically we focus on databased services the quality of which is related to the Age of Information and we assess two alternatives for the support of this sort of services by means of a 5G network one that is based on the eMBB service type and one that is based on the URLLC service type. These assessment is conducted in a duopoly scenario. We conclude that URLLC support provides a competitive advantage to an SP against a competitor SP that supports its service offering on eMBB. And that there is a slightly better situation for the users when the URLLC QoS constraint is stringent.","Tue, 6 Feb 2024 11:44:50 UTC (441 KB)"
"45","Absolute convergence and error thresholds in non-active adaptive sampling","Manuel Vilares Ferro, Victor M. Darriba Bilbao, Jesús Vilares Ferro","Computation and Language ","Nonactive adaptive sampling is a way of building machine learning models from a training data base which are supposed to dynamically and automatically derive guaranteed sample size. In this context and regardless of the strategy used in both scheduling and generating of weak predictors a proposal for calculating absolute convergence and error thresholds is described. We not only make it possible to establish when the quality of the model no longer increases but also supplies a proximity condition to estimate in absolute terms how close it is to achieving such a goal thus supporting decision making for finetuning learning parameters in model selection. The technique proves its correctness and completeness with respect to our working hypotheses in addition to strengthening the robustness of the sampling scheme. Tests meet our expectations and illustrate the proposal in the domain of natural language processing taking the generation of partofspeech taggers as case study.","Sun, 4 Feb 2024 15:10:34 UTC (688 KB)"
"46","Adaptive scheduling for adaptive sampling in POS taggers construction","Manuel Vilares Ferro, Victor M. Darriba Bilbao, Jesús Vilares Ferro","Computation and Language ","We introduce an adaptive scheduling for adaptive sampling as a novel way of machine learning in the construction of partofspeech taggers. The goal is to speed up the training on large data sets without significant loss of performance with regard to an optimal configuration. In contrast to previous methods using a random fixed or regularly rising spacing between the instances ours analyzes the shape of the learning curve geometrically in conjunction with a functional model to increase or decrease it at any time. The algorithm proves to be formally correct regarding our working hypotheses. Namely given a case the following one is the nearest ensuring a net gain of learning ability from the former it being possible to modulate the level of requirement for this condition. We also improve the robustness of sampling by paying greater attention to those regions of the training data base subject to a temporary inflation in performance thus preventing the learning from stopping prematurely. The proposal has been evaluated on the basis of its reliability to identify the convergence of models corroborating our expectations. While a concrete halting condition is used for testing users can choose any condition whatsoever to suit their own specific needs.","Sun, 4 Feb 2024 15:02:17 UTC (590 KB)"
"47","Modeling of learning curves with applications to pos tagging","Manuel Vilares Ferro, Victor M. Darriba Bilbao, Francisco J. Ribadas Pena","Computation and Language ","An algorithm to estimate the evolution of learning curves on the whole of a training data base based on the results obtained from a portion and using a functional strategy is introduced. We approximate iteratively the sought value at the desired time independently of the learning technique used and once a point in the process called prediction level has been passed. The proposal proves to be formally correct with respect to our working hypotheses and includes a reliable proximity condition. This allows the user to fix a convergence threshold with respect to the accuracy finally achievable which extends the concept of stopping criterion and seems to be effective even in the presence of distorting observations. Our aim is to evaluate the training effort supporting decision making in order to reduce the need for both human and computational resources during the learning process. The proposal is of interest in at least three operational procedures. The first is the anticipation of accuracy gain with the purpose of measuring how much work is needed to achieve a certain degree of performance. The second relates the comparison of efficiency between systems at training time with the objective of completing this task only for the one that best suits our requirements. The prediction of accuracy is also a valuable item of information for customizing systems since we can estimate in advance the impact of settings on both the performance and the development costs. Using the generation of partofspeech taggers as an example application the experimental results are consistent with our expectations.","Sun, 4 Feb 2024 15:00:52 UTC (397 KB)"
"48","Baryon Spin and Emergent Hadron Mass","Peng Cheng","High Energy Physics - Phenomenology ","This thesis describes the use of DysonSchwinger equations (DSEs) to study baryon bound states in QCD. In this work octet baryon axial form factors are calculated using a symmetrypreserving treatment of a vector $	imes$ vector contact interaction (SCI). The baryons are considered as quarkplusinteractingdiquark bound states whose structure (wave function) is obtained by solving a Poincarécovariant Faddeev equation. Since it preserves symmetries all consequences of partial conservation of the axial current are manifest. For instance one finds that octet baryon axial properties are consistent with only minor violations of SU(3)flavour symmetry being interpreted as a dynamical consequence of emergent hadron mass (EHM). Considering neutral axial currents the SCI delivers predictions for the flavour separation of octet baryon axial charges and consequently produces values for the associated SU(3) singlet triplet and octet axial charges. The results indicate that at the hadron scale $zeta_{mathcal{H}}$ valence degrees of freedom carry approximately $50\%$ of an octet baryons total spin. Proton structure is one of the principal topics in hadron physics. Its study is expected to reveal key features of both the origin of mass and strong interaction dynamics. This work therefore extended the above analyses to an examination of inproton parton helicity (spin) distribution functions (DFs). Using Ansätze for hadronscale proton polarised valence quark DFs predictions are delivered for all proton polarised DFs at the measurement scale $zeta_{m C}^2 = 3$GeV$^2$. The pointwise behaviour of the predicted DFs and consequently their moments shows good agreement with results inferred from data. Based on these results one finds that experimental measurements of the proton flavoursinglet axial charge should return a value $a_0^{m E}(zeta_{m C}) = 0.35(2)$.","Fri, 2 Feb 2024 13:57:29 UTC (1,890 KB)"
"49","A comparison study of supervised learning techniques for the approximation of high dimensional functions and feedback control","Mathias Oster, Luca Saluzzi, Tizian Wenzel","Numerical Analysis ","Approximation of high dimensional functions is in the focus of machine learning and databased scientific computing. In many applications empirical risk minimisation techniques over nonlinear model classes are employed. Neural networks kernel methods and tensor decomposition techniques are among the most popular model classes. We provide a numerical study comparing the performance of these methods on various highdimensional functions with focus on optimal control problems where the collection of the dataset is based on the application of the StateDependent Riccati Equation.","Fri, 2 Feb 2024 13:35:05 UTC (2,722 KB)"
"50","From PARIS to LE-PARIS: Toward Patent Response Automation with Recommender Systems and Collaborative Large Language Models","Jung-Mei Chu, Hao-Cheng Lo, Jieh Hsiang, Chun-Chieh Cho","Computation and Language ","In patent prosecution timely and effective responses to Office Actions (OAs) are crucial for securing patents. However past automation and artificial intelligence research have largely overlooked this aspect. To bridge this gap our study introduces the Patent Office Action Response Intelligence System (PARIS) and its advanced version the Large Language Model (LLM) Enhanced PARIS (LEPARIS). These systems are designed to enhance the efficiency of patent attorneys in handling OA responses through collaboration with AI. The systems key features include the construction of an OA Topics Database development of Response Templates and implementation of Recommender Systems and LLMbased Response Generation. To validate the effectiveness of the systems we have employed a multiparadigm analysis using the USPTO Office Action database and longitudinal data based on attorney interactions with our systems over six years. Through five studies we have examined the constructiveness of OA topics (studies 1 and 2) using topic modeling and our proposed Delphi process the efficacy of our proposed hybrid LLMbased recommender system tailored for OA responses (study 3) the quality of generated responses (study 4) and the systems practical value in realworld scenarios through user studies (study 5). The results indicate that both PARIS and LEPARIS significantly achieve key metrics and have a positive impact on attorney performance.","Thu, 1 Feb 2024 08:37:13 UTC (1,172 KB)[v2] Tue, 5 Mar 2024 03:45:22 UTC (5,726 KB)"
"51","Spatial-temporal-demand clustering for solving large-scale vehicle routing problems with time windows","Christoph Kerscher, Stefan Minner","Artificial Intelligence ","Several metaheuristics use decomposition and pruning strategies to solve largescale instances of the vehicle routing problem (VRP). Those complexity reduction techniques often rely on simple problemspecific rules. However the growth in available data and advances in computer hardware enable databased approaches that use machine learning (ML) to improve scalability of solution algorithms. We propose a decomposerouteimprove (DRI) framework that groups customers using clustering. Its similarity metric incorporates customers spatial temporal and demand data and is formulated to reflect the problems objective function and constraints. The resulting subrouting problems can independently be solved using any suitable algorithm. We apply pruned local search (LS) between solved subproblems to improve the overall solution. Pruning is based on customers similarity information obtained in the decomposition phase. In a computational study we parameterize and compare existing clustering algorithms and benchmark the DRI against the Hybrid Genetic Search (HGS) of Vidal et al. (2013). Results show that our databased approach outperforms classic clusterfirst routesecond approaches solely based on customers spatial information. The newly introduced similarity metric forms separate subVRPs and improves the selection of LS moves in the improvement phase. Thus the DRI scales existing metaheuristics to achieve highquality solutions faster for largescale VRPs by efficiently reducing complexity. Further the DRI can be easily adapted to various solution methods and VRP characteristics such as distribution of customer locations and demands depot location and different time window scenarios making it a generalizable approach to solving routing problems.","Sat, 20 Jan 2024 06:06:01 UTC (327 KB)"
"52","Projection-based reduced order modeling and data-driven artificial viscosity closures for incompressible fluid flows","Aviral Prakash, Yongjie Jessica Zhang","Fluid Dynamics ","Projectionbased reduced order models rely on offlineonline model decomposition where the databased energetic spatial basis is used in the expensive offline stage to obtain equations of reduced states that evolve in time during the inexpensive online stage. The online stage requires a solution method for the dynamic evolution of the coupled system of pressure and velocity states for incompressible fluid flows. The first contribution of this article is to demonstrate the applicability of the incremental pressure correction scheme for the dynamic evolution of pressure and velocity states. The evolution of a large number of these reduced states in the online stage can be expensive. In contrast the accuracy significantly decreases if only a few reduced states are considered while not accounting for the interactions between unresolved and resolved states. The second contribution of this article is to compare three closure model forms based on global modal and tensor artificial viscosity approximation to account for these interactions. The unknown model parameters are determined using two calibration techniques least squares minimization of error in energy approximation and closure term approximation. This article demonstrates that an appropriate selection of solution methods and datadriven artificial viscosity closure models is essential for consistently accurate dynamics forecasting of incompressible fluid flows.","Tue, 30 Jan 2024 19:09:36 UTC (4,311 KB)"
"53","Explainable data-driven modeling via mixture of experts: towards effective blending of grey and black-box models","Jessica Leoni, Valentina Breschi, Simone Formentin, Mara Tanelli","Machine Learning ","Traditional models grounded in first principles often struggle with accuracy as the systems complexity increases. Conversely machine learning approaches while powerful face challenges in interpretability and in handling physical constraints. Efforts to combine these models often often stumble upon difficulties in finding a balance between accuracy and complexity. To address these issues we propose a comprehensive framework based on a mixture of experts rationale. This approach enables the databased fusion of diverse local models leveraging the full potential of firstprinciplebased priors. Our solution allows independent training of experts drawing on techniques from both machine learning and system identification and it supports both collaborative and competitive learning paradigms. To enhance interpretability we penalize abrupt variations in the experts combination. Experimental results validate the effectiveness of our approach in producing an interpretable combination of models closely resembling the target phenomena.","Tue, 30 Jan 2024 15:53:07 UTC (4,782 KB)"
"54","Robust Functional Data Analysis for Stochastic Evolution Equations in Infinite Dimensions","Dennis Schroers","Methodology ","This article addresses the robust measurement of covariations in the context of solutions to stochastic evolution equations in Hilbert spaces using functional data analysis. For such equations standard techniques for functional data based on crosssectional covariances are often inadequate for identifying statistically relevant random drivers and detecting outliers since they overlook the interplay between crosssectional and temporal structures. Therefore we develop an estimation theory for the continuous quadratic covariation of the latent random driver of the equation instead of a static covariance of the observable solution process. We derive identifiability results under weak conditions establish rates of convergence and a central limit theorem based on infill asymptotics and provide longtime asymptotics for estimation of a static covariation of the latent driver. Applied to term structure data our approach uncovers a fundamental alignment with scaling limits of covariations of specific shortterm trading strategies and an empirical study detects several jumps and indicates highdimensional and timevarying covariations.","Mon, 29 Jan 2024 16:46:10 UTC (1,151 KB)"
"55","Contributing Dimension Structure of Deep Feature for Coreset Selection","Zhijing Wan, Zhixiang Wang, Yuran Wang, Zheng Wang, Hongyuan Zhu, Shinichi Satoh","Machine Learning ","Coreset selection seeks to choose a subset of crucial training samples for efficient learning. It has gained traction in deep learning particularly with the surge in training dataset sizes. Sample selection hinges on two main aspects a samples representation in enhancing performance and the role of sample diversity in averting overfitting. Existing methods typically measure both the representation and diversity of data based on similarity metrics such as L2norm. They have capably tackled representation via distribution matching guided by the similarities of features gradients or other information between data. However the results of effectively diverse sample selection are mired in suboptimality. This is because the similarity metrics usually simply aggregate dimension similarities without acknowledging disparities among the dimensions that significantly contribute to the final similarity. As a result they fall short of adequately capturing diversity. To address this we propose a featurebased diversity constraint compelling the chosen subset to exhibit maximum diversity. Our key lies in the introduction of a novel Contributing Dimension Structure (CDS) metric. Different from similarity metrics that measure the overall similarity of highdimensional features our CDS metric considers not only the reduction of redundancy in feature dimensions but also the difference between dimensions that contribute significantly to the final similarity. We reveal that existing methods tend to favor samples with similar CDS leading to a reduced variety of CDS types within the coreset and subsequently hindering model performance. In response we enhance the performance of five classical selection methods by integrating the CDS constraint. Our experiments on three datasets demonstrate the general effectiveness of the proposed method in boosting existing methods.","Mon, 29 Jan 2024 14:47:26 UTC (1,009 KB)[v2] Sat, 2 Mar 2024 08:27:52 UTC (1,786 KB)"
"56","Domain adaptation strategies for 3D reconstruction of the lumbar spine using real fluoroscopy data","Sascha Jecklin, Youyang Shen, Amandine Gout, Daniel Suter, Lilian Calvet, Lukas Zingg, Jennifer Straub, Nicola Alessandro Cavalcanti, Mazda Farshad, Philipp Fürnstahl, Hooman Esfandiari","Computer Vision and Pattern Recognition ","This study tackles key obstacles in adopting surgical navigation in orthopedic surgeries including time cost radiation and workflow integration challenges. Recently our work X23D showed an approach for generating 3D anatomical models of the spine from only a few intraoperative fluoroscopic images. This negates the need for conventional registrationbased surgical navigation by creating a direct intraoperative 3D reconstruction of the anatomy. Despite these strides the practical application of X23D has been limited by a domain gap between synthetic training data and real intraoperative images. In response we devised a novel data collection protocol for a paired dataset consisting of synthetic and real fluoroscopic images from the same perspectives. Utilizing this dataset we refined our deep learning model via transfer learning effectively bridging the domain gap between synthetic and real Xray data. A novel style transfer mechanism also allows us to convert real Xrays to mirror the synthetic domain enabling our insilicotrained X23D model to achieve high accuracy in realworld settings. Our results demonstrated that the refined model can rapidly generate accurate 3D reconstructions of the entire lumbar spine from as few as three intraoperative fluoroscopic shots. It achieved an 84% F1 score matching the accuracy of our previous synthetic databased research. Additionally with a computational time of only 81.1 ms our approach provides realtime capabilities essential for surgery integration. Through examining ideal imaging setups and view angle dependencies weve further confirmed our systems practicality and dependability in clinical settings. Our research marks a significant step forward in intraoperative 3D reconstruction offering enhancements to surgical planning navigation and robotics.","Mon, 29 Jan 2024 10:22:45 UTC (14,396 KB)"
"57","Unveiling City Jam-prints of Urban Traffic based on Jam Patterns","Zeng Guanwen, Serok Nimrod, Lieberthal Efrat Blumenfeld, Duan Jinxiao, Liu Shiyan, Sui Shaobo, Li Daqing, Havlin Shlomo","Physics and Society ","We analyze the patterns of traffic jams in urban networks of five large cities and an urban agglomeration region in China using real data based on a recently developed jam tree model. This model focuses on the way traffic jams spread through a network of streets where the first street that becomes congested represents the bottleneck of the jam. We extended the model by integrating additional realistic jam components into the model and find that while the locations of traffic jams can vary significantly from day to day and hour to hour the daily distribution of the costs associated with these jams follows a consistent pattern i.e. a power law with similar exponents. This distribution pattern appears to hold not only for a given region on different days but also for the same hours on different days. This daily pattern of exponent values for traffic jams can be used as a fingerprint for urban traffic i.e. jamprints. Our findings are useful for quantifying the reliability of urban traffic system and for improving traffic management and control.","Sat, 27 Jan 2024 15:05:17 UTC (3,478 KB)"
"58","Importance-Aware Data Augmentation for Document-Level Neural Machine Translation","Minghao Wu, Yufei Wang, George Foster, Lizhen Qu, Gholamreza Haffari","Computation and Language ","Documentlevel neural machine translation (DocNMT) aims to generate translations that are both coherent and cohesive in contrast to its sentencelevel counterpart. However due to its longer input length and limited availability of training data DocNMT often faces the challenge of data sparsity. To overcome this issue we propose a novel ImportanceAware Data Augmentation (IADA) algorithm for DocNMT that augments the training data based on token importance information estimated by the norm of hidden states and training gradients. We conduct comprehensive experiments on three widelyused DocNMT benchmarks. Our empirical results show that our proposed IADA outperforms strong DocNMT baselines as well as several data augmentation approaches with statistical significance on both sentencelevel and documentlevel BLEU.","Sat, 27 Jan 2024 09:27:47 UTC (7,817 KB)"
"59","Depth Patterns","Annika Betken, Alexander Schnurr","Statistics Theory ","We establish a definition of ordinal patterns for multivariate time series data based on the concept of Tukeys halfspace depth. Given the definition of these emph{depth patterns} we are interested in the probabilities of observing specific patterns in a time series. For this we consider the relative frequency of depth patterns as natural estimators for their occurrence probabilities. Depending on the choice of reference distribution and the relation between reference and data distribution we distinguish different settings that are considered separately. Within these settings we study statistical properties of ordinal pattern probabilities establishing consistency and asymptotic normality under the assumption of weakly dependent time series data. Since our concept only depends on ordinal depth information the resulting values are robust under small perturbations and measurement errors.","Wed, 24 Jan 2024 15:39:41 UTC (183 KB)"
"60","Improving Zero-noise Extrapolation for Quantum-gate Error Mitigation using a Noise-aware Folding Method","Leanghok Hour, Sovanmonynuth Heng, Myeongseong Go, Youngsun Han","Quantum Physics ","The current thousandqubit processors mark a substantial advance in hardware. Yet hardware limitations prevent quantum error correction (QEC) necessitating reliance on quantum error mitigation (QEM). Our paper presents a noiseaware folding method that improves ZeroNoise Extrapolation (ZNE) by estimating noiseless values from noisy results. Unlike traditional ZNE methods which assume a uniform error distribution our method redistributes the noise using calibration data based on hardware noise models. By employing noiseadaptive compilation and optimizing the qubit mappings our approach enhances the ZNE accuracy of various quantum computing models. Recalibrating the noise amplification to address the inherent error variations promises higher precision and reliability in quantum computations. This paper highlights the uniqueness of our method summarizes noise accumulation presents the scaling algorithm and compares the reliability of our method with those of existing models using linear fit extrapolation. Relative to the existing folding methods our method achieved a 35% improvement on quantum computer simulators and a 26% improvement on real quantum computers compared to existing folding methods demonstrating the effectiveness of our proposed approach.","Tue, 23 Jan 2024 05:36:40 UTC (1,733 KB)"
